#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000245095.2	PRJNA80889	SAMN02471813	AHJK00000000.1	na	1132497	43080	Sulfolobus islandicus M.16.2	strain=M.16.2		latest	Chromosome	Major	Full	2012/01/25	ASM24509v2	University of Illinois	GCF_000245095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/095/GCA_000245095.2_ASM24509v2		
GCA_000245115.2	PRJNA80891	SAMN02471807	AHJL00000000.1	na	1132498	43080	Sulfolobus islandicus M.16.12	strain=M.16.12		latest	Contig	Major	Full	2012/01/25	ASM24511v2	University of Illinois	GCF_000245115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/115/GCA_000245115.2_ASM24511v2		
GCA_000245135.2	PRJNA80893	SAMN02471814	AHJM00000000.1	na	1132499	43080	Sulfolobus islandicus M.16.13	strain=M.16.13		latest	Contig	Major	Full	2012/01/25	ASM24513v2	University of Illinois	GCF_000245135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/135/GCA_000245135.2_ASM24513v2		
GCA_000245155.2	PRJNA80895	SAMN02471818	AHJN00000000.1	na	1132500	43080	Sulfolobus islandicus M.16.22	strain=M.16.22		latest	Contig	Major	Full	2012/01/25	ASM24515v2	University of Illinois	GCF_000245155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/155/GCA_000245155.2_ASM24515v2		
GCA_000245175.2	PRJNA80897	SAMN02471819	AHJO00000000.1	na	1132501	43080	Sulfolobus islandicus M.16.23	strain=M.16.23		latest	Chromosome	Major	Full	2012/01/25	ASM24517v2	University of Illinois	GCF_000245175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/175/GCA_000245175.2_ASM24517v2		
GCA_000245195.2	PRJNA80899	SAMN02471824	AHJP00000000.1	na	1132502	43080	Sulfolobus islandicus M.16.30	strain=M.16.30		latest	Contig	Major	Full	2012/01/25	ASM24519v2	University of Illinois	GCF_000245195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/195/GCA_000245195.2_ASM24519v2		
GCA_000245215.2	PRJNA80901	SAMN02471808	AHJQ00000000.1	na	1132503	43080	Sulfolobus islandicus M.16.40	strain=M.16.40		latest	Chromosome	Major	Full	2012/01/25	ASM24521v2	University of Illinois	GCF_000245215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/215/GCA_000245215.2_ASM24521v2		
GCA_000245235.2	PRJNA80903	SAMN02471809	AHJR00000000.1	na	1132504	43080	Sulfolobus islandicus M.16.43	strain=M.16.43		latest	Chromosome	Major	Full	2012/01/25	ASM24523v2	University of Illinois	GCF_000245235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/235/GCA_000245235.2_ASM24523v2		
GCA_000245255.2	PRJNA80905	SAMN02471810	AHJS00000000.1	na	1132505	43080	Sulfolobus islandicus M.16.46	strain=M.16.46		latest	Contig	Major	Full	2012/01/25	ASM24525v2	University of Illinois	GCF_000245255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/255/GCA_000245255.2_ASM24525v2		
GCA_000245275.2	PRJNA80907	SAMN02471811	AHJT00000000.1	na	1132506	43080	Sulfolobus islandicus M.16.47	strain=M.16.47		latest	Chromosome	Major	Full	2012/01/25	ASM24527v2	University of Illinois	GCF_000245275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/275/GCA_000245275.2_ASM24527v2		
GCA_000364745.1	PRJNA177222	SAMN02603709		na	1241935	43080	Sulfolobus islandicus LAL14/1	strain=LAL14/1		latest	Complete Genome	Major	Full	2013/04/15	ASM36474v1	Pasteur Institute, Paris, France	GCF_000364745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/745/GCA_000364745.1_ASM36474v1		
GCA_003086455.1	PRJNA386514	SAMN06968112	QEFG00000000.1	na	43080	43080	Sulfolobus islandicus		SCGC AB-777_J04	latest	Contig	Major	Full	2018/05/02	ASM308645v1	Montana State University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/455/GCA_003086455.1_ASM308645v1	derived from single cell	
GCA_000016605.1	PRJNA17447	SAMN02598389		representative genome	399549	43687	Metallosphaera sedula DSM 5348	strain=DSM 5348		latest	Complete Genome	Major	Full	2007/04/25	ASM1660v1	US DOE Joint Genome Institute	GCF_000016605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/605/GCA_000016605.1_ASM1660v1		assembly from type material
GCA_000747605.1	PRJNA253049	SAMN02866348		na	43687	43687	Metallosphaera sedula	strain=CuR1		latest	Chromosome	Major	Full	2014/09/04	ASM74760v1	University of Nebraska-Lincoln	GCF_000747605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/747/605/GCA_000747605.1_ASM74760v1		
GCA_001266655.1	PRJNA289697	SAMN03857118		na	43687	43687	Metallosphaera sedula	strain=ARS50-1		latest	Complete Genome	Major	Full	2015/08/12	ASM126665v1	University of Nebraska-Lincoln	GCF_001266655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/655/GCA_001266655.1_ASM126665v1		
GCA_001266675.1	PRJNA289701	SAMN03857124		na	43687	43687	Metallosphaera sedula	strain=ARS50-2		latest	Complete Genome	Major	Full	2015/08/12	ASM126667v1	University of Nebraska-Lincoln	GCF_001266675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/675/GCA_001266675.1_ASM126667v1		
GCA_001266695.1	PRJNA289698	SAMN03857129		na	43687	43687	Metallosphaera sedula	strain=ARS120-1		latest	Complete Genome	Major	Full	2015/08/12	ASM126669v1	University of Nebraska-Lincoln	GCF_001266695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/695/GCA_001266695.1_ASM126669v1		
GCA_001266715.1	PRJNA289699	SAMN03857133		na	43687	43687	Metallosphaera sedula	strain=ARS120-2		latest	Complete Genome	Major	Full	2015/08/12	ASM126671v1	University of Nebraska-Lincoln	GCF_001266715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/715/GCA_001266715.1_ASM126671v1		
GCA_001266735.1	PRJNA290374	SAMN03890864		na	43687	43687	Metallosphaera sedula	strain=SARC-M1		latest	Complete Genome	Major	Full	2015/08/12	ASM126673v1	University of Nebraska-Lincoln	GCF_001266735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/735/GCA_001266735.1_ASM126673v1		
GCA_000336895.1	PRJNA174892	SAMN02471678	AOLX00000000.1	na	1230451	43776	Haloarcula argentinensis DSM 12282	strain=DSM 12282		latest	Contig	Major	Full	2013/02/04	ASM33689v1	University of California, Davis	GCF_000336895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/895/GCA_000336895.1_ASM33689v1		assembly from type material
GCA_900129775.1	PRJEB18229	SAMN05443636	FQWV00000000.1	representative genome	43928	43928	Halobaculum gomorrense	strain=DSM 9297		latest	Scaffold	Major	Full	2016/12/03	IMG-taxon 2695420988 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCF_900129775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/129/775/GCA_900129775.1_IMG-taxon_2695420988_annotated_assembly		assembly from type material
GCA_000337675.1	PRJNA174940	SAMN02471669	AOIB00000000.1	representative genome	1227497	44470	Natronococcus amylolyticus DSM 10524	strain=DSM 10524		latest	Contig	Major	Full	2013/02/04	ASM33767v1	University of California, Davis	GCF_000337675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/675/GCA_000337675.1_ASM33767v1		assembly from type material
GCA_000230715.3	PRJNA60135	SAMN02232042		representative genome	797304	44930	Natronobacterium gregoryi SP2	strain=SP2		latest	Complete Genome	Major	Full	2012/12/10	ASM23071v3	DOE Joint Genome Institute	GCF_000230715.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/715/GCA_000230715.3_ASM23071v3		assembly from type material
GCA_000337655.1	PRJNA174939	SAMN02471625	AOIC00000000.1	na	797304	44930	Natronobacterium gregoryi SP2	strain=SP2		latest	Contig	Major	Full	2013/02/04	ASM33765v1	University of California, Davis	GCF_000337655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/655/GCA_000337655.1_ASM33765v1		assembly from type material
GCA_002855455.1	PRJNA423232	SAMN08213458	PKKI00000000.1	na	797304	44930	Natronobacterium gregoryi SP2	strain=SP2		latest	Contig	Major	Full	2018/01/03	ASM285545v1	University of Electronic Science and Technology of China	GCF_002855455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/855/455/GCA_002855455.1_ASM285545v1		assembly from type material
GCA_900114025.1	PRJEB17391	SAMN05443661	FORO00000000.1	representative genome	44930	44930	Natronobacterium gregoryi	strain=SP2		latest	Contig	Major	Full	2016/11/02	IMG-taxon 2693429900 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCF_900114025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/025/GCA_900114025.1_IMG-taxon_2693429900_annotated_assembly		assembly from type material
GCA_900176435.1	PRJEB20343	SAMN02745355	FWYE00000000.1	na	1122961	46632	Picrophilus oshimae DSM 9789	strain=DSM 9789		latest	Contig	Major	Full	2017/04/08	IMG-taxon 2579779151 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCF_900176435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/176/435/GCA_900176435.1_IMG-taxon_2579779151_annotated_assembly		assembly from type material
GCA_000200715.1	PRJNA202	SAMN02744041		na	414004	46770	Cenarchaeum symbiosum A			latest	Chromosome	Major	Full	2006/11/20	ASM20071v1	DOE Joint Genome Institute	GCF_000200715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/200/715/GCA_000200715.1_ASM20071v1	derived from environmental source	
GCA_001316045.1	PRJDB806	SAMD00000478	BBBY00000000.1	representative genome	523847	47303	Sulfolobus metallicus DSM 6482 = JCM 9184	strain=JCM 9184		latest	Contig	Major	Full	2015/10/01	ASM131604v1	The University of Tokyo	GCF_001316045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/045/GCA_001316045.1_ASM131604v1		assembly from type material
GCA_001639285.1	PRJNA318765	SAMN04867344	LWMW00000000.1	representative genome	47311	47311	Methanobrevibacter cuticularis	strain=DSM 11139		latest	Contig	Major	Full	2016/04/29	ASM163928v1	Goettingen Genomics Laboratory	GCF_001639285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/285/GCA_001639285.1_ASM163928v1		assembly from type material
GCA_003385755.1	PRJNA439993	SAMN08769621	QREL00000000.1	na	49339	49339	Methanothermobacter defluvii	strain=DSM 7466		latest	Scaffold	Major	Full	2018/08/14	ASM338575v1	DOE Joint Genome Institute	GCF_003385755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/385/755/GCA_003385755.1_ASM338575v1		assembly from type material
GCA_001639295.1	PRJNA318764	SAMN04867343	LWMV00000000.1	representative genome	49547	49547	Methanobrevibacter curvatus	strain=DSM 11111		latest	Contig	Major	Full	2016/04/29	ASM163929v1	Goettingen Genomics Laboratory	GCF_001639295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/295/GCA_001639295.1_ASM163929v1		assembly from type material
GCA_002214585.1	PRJNA274230	SAMN03324163		representative genome	49899	49899	Thermococcus profundus	strain=DT 5432		latest	Complete Genome	Major	Full	2017/07/05	ASM221458v1	Ecole Normale Superieure de Lyon	GCF_002214585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/585/GCA_002214585.1_ASM221458v1		assembly from synonym type material
GCA_000011185.1	PRJNA206	SAMD00061089		representative genome	273116	50339	Thermoplasma volcanium GSS1	strain=GSS1		latest	Complete Genome	Major	Full	2004/05/11	ASM1118v1	National Institute of Advanced Industrial Science and Technology, Japan	GCF_000011185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/185/GCA_000011185.1_ASM1118v1		assembly from type material
GCA_002973515.1	PRJNA370003	SAMN06296050	PVBU00000000.1	na	51203	51203	Methanohalophilus euhalobius	strain=DSM 10369		latest	Contig	Major	Full	2018/03/06	ASM297351v1	DOE Joint Genome Institute	GCF_002973515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/973/515/GCA_002973515.1_ASM297351v1		
GCA_003722155.1	PRJNA500754	SAMN10345419	RJJF00000000.1	na	51203	51203	Methanohalophilus euhalobius	strain=DSM 10369		latest	Contig	Major	Full	2018/11/12	ASM372215v1	King Abdullah University of Science and Technology (KAUST)	GCF_003722155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/722/155/GCA_003722155.1_ASM372215v1		
GCA_900215215.1	PRJEB22410	SAMN06295989	OBDR00000000.1	na	51203	51203	Methanohalophilus euhalobius	strain=WG-1MB		latest	Contig	Major	Full	2017/09/21	IMG-taxon 2703719067 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCF_900215215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/215/215/GCA_900215215.1_IMG-taxon_2703719067_annotated_assembly		
GCA_000223905.1	PRJNA68523	SAMN02602960		representative genome	634497	51589	Haloarcula hispanica ATCC 33960	strain=CGMCC 1.2049		latest	Complete Genome	Major	Full	2011/08/17	ASM22390v1	 Institute of Microbiology, Chinese Academy of Sciences	GCF_000223905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/905/GCA_000223905.1_ASM22390v1		assembly from type material
GCA_000504565.2	PRJNA227070	SAMN02393367		na	1417673	51589	Haloarcula hispanica N601	strain=N601		latest	Complete Genome	Major	Full	2014/01/09	ASM50456v2	Academia Sinica, Taipei, Taiwan	GCF_000504565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/565/GCA_000504565.2_ASM50456v2		
GCA_001315905.1	PRJDB786	SAMD00000482	BBBE00000000.1	na	523851	53952	Thermococcus peptonophilus OG-1 = JCM 9653	strain=JCM 9653		latest	Contig	Major	Full	2015/10/01	ASM131590v1	The University of Tokyo	GCF_001315905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/905/GCA_001315905.1_ASM131590v1	many frameshifted proteins	assembly from type material
GCA_001592435.1	PRJNA274230	SAMN03324162		na	53952	53952	Thermococcus peptonophilus	strain=OG-1		latest	Complete Genome	Major	Full	2016/03/15	ASM159243v1	Ecole Normale Superieure de Lyon	GCF_001592435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/592/435/GCA_001592435.1_ASM159243v1		assembly from type material
GCA_000011105.1	PRJNA207	SAMD00061090		representative genome	70601	53953	Pyrococcus horikoshii OT3	strain=OT3		latest	Complete Genome	Major	Full	2004/05/11	ASM1110v1	NITE	GCF_000011105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/105/GCA_000011105.1_ASM1110v1		assembly from type material
GCA_000258515.1	PRJNA85543	SAMN02470188	AJLF00000000.1	representative genome	1151117	54076	Thermococcus zilligii AN1	strain=AN1		latest	Contig	Major	Full	2012/04/11	TheZil1.0	Korea Research Institute of Bioscience and Biotechnology	GCF_000258515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/515/GCA_000258515.1_TheZil1.0		assembly from type material
GCA_002214465.1	PRJNA274230	SAMN03324153		representative genome	54077	54077	Thermococcus barossii	strain=SHCK-94		latest	Complete Genome	Major	Full	2017/07/05	ASM221446v1	Ecole Normale Superieure de Lyon	GCF_002214465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/465/GCA_002214465.1_ASM221446v1		assembly from type material
GCA_000147875.1	PRJNA40773	SAMN00017400		representative genome	679926	54120	Methanolacinia petrolearia DSM 11571			latest	Complete Genome	Major	Full	2010/09/17	ASM14787v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000147875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/875/GCA_000147875.1_ASM14787v1		assembly from type material
GCA_000015145.1	PRJNA208	SAMN02604082		representative genome	415426	54248	Hyperthermus butylicus DSM 5456	strain=DSM 5456		latest	Complete Genome	Major	Full	2007/01/22	ASM1514v1	Univ. Copenhagen	GCF_000015145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/145/GCA_000015145.1_ASM1514v1		assembly from type material
GCA_000223395.1	PRJNA48579	SAMN02232047		representative genome	694429	54252	Pyrolobus fumarii 1A	strain=1A		latest	Complete Genome	Major	Full	2011/08/12	ASM22339v1	DOE Joint Genome Institute	GCF_000223395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/395/GCA_000223395.1_ASM22339v1		assembly from type material
GCA_000092185.1	PRJNA36571	SAMN02598509		na	633148	54254	Thermosphaera aggregans DSM 11486	strain=DSM 11486		latest	Complete Genome	Major	Full	2010/05/17	ASM9218v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000092185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/185/GCA_000092185.1_ASM9218v1		assembly from type material
GCA_001481685.1	PRJNA61347	SAMN04316368		representative genome	940295	54259	Ignicoccus islandicus DSM 13165	strain=DSM 13165		latest	Complete Genome	Major	Full	2015/12/23	ASM148168v1	Oak Ridge National Laboratory	GCF_001481685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/685/GCA_001481685.1_ASM148168v1		assembly from type material
GCA_000025505.1	PRJNA33635	SAMN02598503		representative genome	589924	54261	Ferroglobus placidus DSM 10642	strain=DSM 10642		latest	Complete Genome	Major	Full	2010/02/16	ASM2550v1	US DOE Joint Genome Institute	GCF_000025505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/505/GCA_000025505.1_ASM2550v1		assembly from type material
GCA_002214605.1	PRJNA274230	SAMN03324156		na	54262	54262	Thermococcus chitonophagus	strain=GC74		latest	Complete Genome	Major	Full	2017/07/05	ASM221460v1	Ecole Normale Superieure de Lyon	GCF_002214605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/605/GCA_002214605.1_ASM221460v1		assembly from type material
GCA_900012635.1	PRJEB12305	SAMEA3721282		na	54262	54262	Thermococcus chitonophagus		1	latest	Complete Genome	Major	Full	2016/04/15	Pyrococcus chitonophagus genome sequence	University of Athens	GCF_900012635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/012/635/GCA_900012635.1_Pyrococcus_chitonophagus_genome_sequence		
GCA_001639265.1	PRJNA318759	SAMN04867340	LWMT00000000.1	representative genome	55758	55758	Methanobrevibacter filiformis	strain=DSM 11501		latest	Contig	Major	Full	2016/04/29	ASM163926v1	Goettingen Genomics Laboratory	GCF_001639265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/265/GCA_001639265.1_ASM163926v1		assembly from type material
GCA_000151105.2	PRJNA19379	SAMN02603625		representative genome	391623	55802	Thermococcus barophilus MP	strain=MP		latest	Complete Genome	Major	Full	2010/12/17	ASM15110v2	Moore Foundation	GCF_000151105.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/105/GCA_000151105.2_ASM15110v2		assembly from type material
GCA_001433455.1	PRJNA274261	SAMN03324231		na	55802	55802	Thermococcus barophilus	strain=CH5		latest	Complete Genome	Major	Full	2015/11/05	ASM143345v1	Ecole Normale Superieure de Lyon	GCF_001433455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/455/GCA_001433455.1_ASM143345v1		
GCA_000011125.1	PRJNA211	SAMD00061092		na	272557	56636	Aeropyrum pernix K1	strain=K1		latest	Complete Genome	Major	Full	2006/10/11	ASM1112v1	NITE	GCF_000011125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/125/GCA_000011125.1_ASM1112v1	missing rRNA genes	assembly from type material
GCA_000023965.1	PRJNA27945	SAMN00002610		representative genome	485914	57705	Halomicrobium mukohataei DSM 12286	strain=DSM 12286		latest	Complete Genome	Major	Full	2009/09/03	ASM2396v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000023965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/965/GCA_000023965.1_ASM2396v1		assembly from type material
GCA_003992375.1	PRJNA511948	SAMN10653470	RZNE00000000.1	na	57705	57705	Halomicrobium mukohataei	strain=ZP12-2		latest	Contig	Major	Full	2019/01/04	ASM399237v1	Jiangsu University	GCF_003992375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/992/375/GCA_003992375.1_ASM399237v1		
GCA_000194625.1	PRJNA51621	SAMN00713598		representative genome	693661	58290	Archaeoglobus veneficus SNP6	strain=SNP6		latest	Complete Genome	Major	Full	2011/03/31	ASM19462v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000194625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/625/GCA_000194625.1_ASM19462v1		assembly from type material
GCA_002813655.1	PRJNA349209	SAMN05928840		na	59277	59277	Methanobacterium subterraneum	strain=MO-MB1		latest	Complete Genome	Major	Full	2017/12/07	ASM281365v1	Japan Agency for Marine-Earth Science and technology	GCF_002813655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/655/GCA_002813655.1_ASM281365v1		
GCA_002813695.1	PRJNA349209	SAMN05928842		na	59277	59277	Methanobacterium subterraneum	strain=A8p		latest	Complete Genome	Major	Full	2017/12/07	ASM281369v1	Japan Agency for Marine-Earth Science and technology	GCF_002813695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/695/GCA_002813695.1_ASM281369v1		assembly from type material
GCA_000172995.2	PRJNA20743	SAMN00002580		representative genome	469382	60847	Halogeometricum borinquense DSM 11551	strain=PR 3		latest	Complete Genome	Major	Full	2010/11/22	ASM17299v2	US DOE Joint Genome Institute (JGI-PGF)	GCF_000172995.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/995/GCA_000172995.2_ASM17299v2		assembly from type material
GCA_000337855.1	PRJNA174948	SAMN02471667	AOHT00000000.1	na	469382	60847	Halogeometricum borinquense DSM 11551	strain=DSM 11551		latest	Contig	Major	Full	2013/02/04	ASM33785v1	University of California, Davis	GCF_000337855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/855/GCA_000337855.1_ASM33785v1		assembly from type material
GCA_000337715.1	PRJNA174943	SAMN02471622	AOHY00000000.1	representative genome	1227500	61858	Natronorubrum bangense JCM 10635	strain=JCM 10635		latest	Contig	Major	Full	2013/02/04	ASM33771v1	University of California, Davis	GCF_000337715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/715/GCA_000337715.1_ASM33771v1		assembly from type material
GCA_000336915.1	PRJNA174898	SAMN02471639	AOMD00000000.1	representative genome	1227455	62319	Halococcus saccharolyticus DSM 5350	strain=DSM 5350		latest	Contig	Major	Full	2013/02/04	ASM33691v1	University of California, Davis	GCF_000336915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/915/GCA_000336915.1_ASM33691v1		assembly from type material
GCA_000025325.1	PRJNA30411	SAMN02598471		representative genome	543526	62320	Haloterrigena turkmenica DSM 5511	strain=DSM 5511		latest	Complete Genome	Major	Full	2010/01/19	ASM2532v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000025325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/325/GCA_000025325.1_ASM2532v1		assembly from type material
GCA_001483125.1	PRJNA297157	SAMN04115933	LKCV00000000.1	na	62320	62320	Haloterrigena turkmenica	strain=WANU15		latest	Contig	Major	Full	2015/12/29	ASM148312v1	Aljouf university	GCF_001483125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/125/GCA_001483125.1_ASM148312v1		
GCA_001315925.1	PRJDB787	SAMD00000407	BBBF00000000.1	na	1293040	62609	Thermocladium modestius JCM 10088	strain=JCM 10088		latest	Contig	Major	Full	2015/10/01	ASM131592v1	The University of Tokyo	GCF_001315925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/925/GCA_001315925.1_ASM131592v1	abnormal gene to sequence ratio	assembly from type material
GCA_000337235.1	PRJNA174945	SAMN02471668	AOHW00000000.1	na	1114856	63128	Natronorubrum tibetense GA33	strain=GA33		latest	Contig	Major	Full	2013/02/04	ASM33723v1	University of California, Davis	GCF_000337235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/235/GCA_000337235.1_ASM33723v1		assembly from type material
GCA_000383975.1	PRJNA85145	SAMN02261315	ARPH00000000.1	representative genome	1114856	63128	Natronorubrum tibetense GA33	strain=GA33		latest	Scaffold	Major	Full	2013/04/26	ASM38397v1	JGI	GCF_000383975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/975/GCA_000383975.1_ASM38397v1		assembly from type material
GCA_900188065.1	PRJEB21398	SAMN06264855	FZNQ00000000.1	representative genome	63740	63740	Halorubrum vacuolatum	strain=DSM 8800		latest	Contig	Major	Full	2017/07/16	IMG-taxon 2724679803 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCF_900188065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/188/065/GCA_900188065.1_IMG-taxon_2724679803_annotated_assembly		assembly from type material
GCA_000337555.1	PRJNA174930	SAMN02471653	AOIO00000000.1	representative genome	29540	64602	Natrialba asiatica DSM 12278	strain=DSM 12278		latest	Contig	Major	Full	2013/02/04	ASM33755v1	University of California, Davis	GCF_000337555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/555/GCA_000337555.1_ASM33755v1		assembly from type material
GCA_000337035.1	PRJNA174913	SAMN02471634	AOJL00000000.1	representative genome	1227466	64713	Halorubrum coriense DSM 10284	strain=DSM 10284		latest	Contig	Major	Full	2013/02/04	ASM33703v1	University of California, Davis	GCF_000337035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/035/GCA_000337035.1_ASM33703v1		assembly from type material
GCA_000529525.1	PRJEB4880	SAMEA3138857	CBWS000000000.1	na	1415626	66851	Methanobrevibacter oralis JMR01	strain=JMR01		latest	Scaffold	Major	Full	2014/01/15	Methanobrevibacter oralis JMR01	URMITE	GCF_000529525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/529/525/GCA_000529525.1_Methanobrevibacter_oralis_JMR01		
